product_id,brand_name,pants_description,price,mrp,discount_percent,ratings,number_of_ratings
101,WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
102,Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
103,Roadster,Men Pure Cotton Jeans,974,2499,0.61,3.6,1100
104,Bene Kleed,Relaxed Fit Denim Jeans,873,2299,0.62,4,4800
105,Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
106,HERE&NOW,Men Stretchable Jeans,798,1699,0.53,4,33
107,Urbano Fashion,Men Relaxed Fit Jeans,944,2099,0.55,4,4200
108,WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
109,Bene Kleed,Men Wide Leg Heavy Fade Jeans,839,2799,0.7,3.6,114
110,Bene Kleed,Relaxed Fit Denim Jeans,873,2299,0.62,4.1,5200
111,Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
112,Bene Kleed,Men Bootcut Jeans,873,2299,0.62,4,757
113,Bene Kleed,Men Wide Leg Jeans,857,2599,0.67,3.6,152
114,Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.6,152
115,styzon,Men Jogger Mid-Rise Jeans,899,3599,0.75,4.1,64
116,Roadster,Cotton Ecru Straight Fit Jeans,949,2499,0.62,3.8,80
117,Calvin Klein Jeans,Men Slim Fit Jeans,949,2499,0.62,3.8,80
118,styzon,Men Relaxed Fit Jeans,989,1799,0.45,3.9,42
119,Bene Kleed,Men Bootcut Jeans,850,2299,0.63,3.9,1000
120,WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
121,HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,769,2749,0.72,3.6,432
122,Bene Kleed,Men Mid-Rise Boot Cut Jeans,873,2299,0.62,4,591
123,Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4,591
124,WROGN,Men Pure Cotton Loose Jeans,1449,2499,0.42,3.9,111
125,Urbano Fashion,Men Relaxed Fit Jeans,1034,2299,0.55,3.6,618
126,Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
127,Kotty,Men Low-Rise Jeans,519,1999,0.74,3.7,1500
128,Bene Kleed,Men Relaxed Fit Jeans,873,2299,0.62,4.1,4200
129,Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4.1,4200
130,Roadster,Men Wide Leg Jeans,999,2499,0.6,3.4,53
131,Kotty,Men Straight Fit Jeans,719,1999,0.64,3.8,61
132,WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
133,Mast & Harbour,Men Bootcut Jeans,869,2999,21.3,4.1,211
134,Kotty,Men Low-Rise Cargo  Jeans,639,1999,0.68,4.2,2000
135,Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
136,Mast & Harbour,Men Stretchable Jeans,758,2299,0.67,3.4,441
